multiplier,growth,n,one,split,d_wei,rel,exact
1999000000000000000000000000,0.05,100,1102446210156221531813162427,1102446210156221531813161745,-682,-6.18624e-25,1102446210156221531813162445.4387
1999000000000000000000000000,0.05,1000,1102446210156221531813162427,1102446210156221531813159274,-3153,-2.86e-24,1102446210156221531813162445.4387
1999000000000000000000000000,0.05,8760,1102446210156221531813162427,1102446210156221531813113988,-48439,-4.39377e-23,1102446210156221531813162445.4387
1999000000000000000000000000,0.05,30000,1102446210156221531813162427,1102446210156221531813041799,-120628,-1.09418e-22,1102446210156221531813162445.4387
1999000000000000000000000000,0.1,1,1209884680178100556641506762,1209884680178100556641506762,0,0.0,1209884680178100556641506779.3261
1999000000000000000000000000,0.1,2,1209884680178100556641506762,1209884680178100556641506755,-7,-5.78568e-27,1209884680178100556641506779.3261
1999000000000000000000000000,0.1,10,1209884680178100556641506762,1209884680178100556641506661,-101,-8.3479e-26,1209884680178100556641506779.3261
1999000000000000000000000000,0.1,100,1209884680178100556641506762,1209884680178100556641505931,-831,-6.86842e-25,1209884680178100556641506779.3261
1999000000000000000000000000,0.1,1000,1209884680178100556641506762,1209884680178100556641502237,-4525,-3.74003e-24,1209884680178100556641506779.3261
1999000000000000000000000000,0.1,8760,1209884680178100556641506762,1209884680178100556641463769,-42993,-3.55348e-23,1209884680178100556641506779.3261
1999000000000000000000000000,0.1,30000,1209884680178100556641506762,1209884680178100556641406362,-100400,-8.29831e-23,1209884680178100556641506779.3261
1999000000000000000000000000,0.25,1,1562151377098994230168673748,1562151377098994230168673748,0,0.0,1562151377098994230168673778.5105
1999000000000000000000000000,0.25,2,1562151377098994230168673748,1562151377098994230168673715,-33,-2.11247e-26,1562151377098994230168673778.5105
1999000000000000000000000000,0.25,10,1562151377098994230168673748,1562151377098994230168673596,-152,-9.73017e-26,1562151377098994230168673778.5105
1999000000000000000000000000,0.25,100,1562151377098994230168673748,1562151377098994230168672510,-1238,-7.92497e-25,1562151377098994230168673778.5105
1999000000000000000000000000,0.25,1000,1562151377098994230168673748,1562151377098994230168665167,-8581,-5.49307e-24,1562151377098994230168673778.5105
1999000000000000000000000000,0.25,8760,1562151377098994230168673748,1562151377098994230168620288,-53460,-3.4222e-23,1562151377098994230168673778.5105
1999000000000000000000000000,0.25,30000,1562151377098994230168673748,1562151377098994230168603821,-69927,-4.47633e-23,1562151377098994230168673778.5105
1999000000000000000000000000,0.5,1,2249087888433960072618239010,2249087888433960072618239010,0,0.0,2249087888433960072618239064.2699
1999000000000000000000000000,0.5,2,2249087888433960072618239010,2249087888433960072618238969,-41,-1.82296e-26,2249087888433960072618239064.2699
1999000000000000000000000000,0.5,10,2249087888433960072618239010,2249087888433960072618238749,-261,-1.16047e-25,2249087888433960072618239064.2699
1999000000000000000000000000,0.5,100,2249087888433960072618239010,2249087888433960072618237154,-1856,-8.25223e-25,2249087888433960072618239064.2699
1999000000000000000000000000,0.5,1000,2249087888433960072618239010,2249087888433960072618227750,-11260,-5.00647e-24,2249087888433960072618239064.2699
1999000000000000000000000000,0.5,8760,2249087888433960072618239010,2249087888433960072618156048,-82962,-3.6887e-23,2249087888433960072618239064.2699
1999000000000000000000000000,0.5,30000,2249087888433960072618239010,2249087888433960072617799185,-439825,-1.95557e-22,2249087888433960072618239064.2699
